content,annotation,extras
your mother's a bitch.,"{'notes': '', 'label': ['1']}",
that sucks for your teacher. poor guy. isn't your class full of adults? do they act mature like adults are supposed to?,"{'notes': '', 'label': ['1']}",
fuck yeah!!! That is so far above just not failing!!,"{'notes': '', 'label': ['1']}",
FUCK.,"{'notes': '', 'label': ['1']}",
fuck yeah!!,"{'notes': '', 'label': ['1']}",
well  it is gay hippie stoner music,"{'notes': '', 'label': ['1']}",
aw man that sucks!,"{'notes': '', 'label': ['1']}",
Oh no! Everyone ok? Damn you rain! Ruining my BFFOT's day!!!,"{'notes': '', 'label': ['1']}",
WHO CARES I HATE THEM! FTW! Knitting and crocheting before bed &lt;3,"{'notes': '', 'label': ['1']}",
damn.,"{'notes': '', 'label': ['1']}",
"*sigh* oh  Karrine. You said the phrase ""Sluts with Butts"" on a site called MomLogic.com. You fuck'n rule! :) LMAO","{'notes': '', 'label': ['1']}",
Rockets... damn. makes me wanna turn ne-yo's gay ass off my tv and just sit here.,"{'notes': '', 'label': ['1']}",
wow that really sucks. LOL.,"{'notes': '', 'label': ['1']}",
that sucks  I know he was looking forward to that hook up...,"{'notes': '', 'label': ['1']}",
fuck yeah. swing by sometime (after the 17th) and i'll take you to rocco's. yeah  think about that.,"{'notes': '', 'label': ['1']}",
i hate her in every movie. she has one look. you know the look haha,"{'notes': '', 'label': ['1']}",
"Read your post  ""Sincerity Sucks.""  Thank you! I feel less guilty for holding certain ""sincere"" people accountable for actions","{'notes': '', 'label': ['1']}",
Maybe they're looking for Carl!!!  That damn Carl.,"{'notes': '', 'label': ['1']}",
Fat Baby drinkinggg and listening to Duffy's band,"{'notes': '', 'label': ['1']}",
p.s. i hate you :),"{'notes': '', 'label': ['1']}",
I should brush my bangs over my eyes and join you in emo grief.,"{'notes': '', 'label': ['1']}",
It sucks :(,"{'notes': '', 'label': ['1']}",
yeah I hate this bitch and I'm glad the chief killed that other dude!,"{'notes': '', 'label': ['1']}",
@Heylin1234 oooh shit i forgot what i was gonna tell y'all -_O UMMM oopsie...ugh i hate my short term memory,"{'notes': '', 'label': ['1']}",
With the departure of the Sonics  I've adopted them as my squad. I still fuck w/ CP3 and the Hornets  but I gotta go Pacific NW.,"{'notes': '', 'label': ['1']}",
Damn straight.,"{'notes': '', 'label': ['1']}",
Have you seen his ugly ass? he IS the phantom. Women wouldnt sleep with him if he didn't woo us with melodies and faux-mance,"{'notes': '', 'label': ['1']}",
DAMN HO  You sick as FUCK!!!,"{'notes': '', 'label': ['1']}",
Jesus fucking h Christ!!!!,"{'notes': '', 'label': ['1']}",
fuck you  change your name. Do you know who I am? (yeah  neither does my mom.),"{'notes': '', 'label': ['1']}",
to be specific he didnt choke her (right?) he bit her on the back while banging her in the ass. (just to be clear)... :),"{'notes': '', 'label': ['1']}",
still got that ass whooped haha.,"{'notes': '', 'label': ['1']}",
go cowboys!!!! Yup I said it. Two tears in a bucket.. Fuck it lol,"{'notes': '', 'label': ['1']}",
go fuck yourself.,"{'notes': '', 'label': ['1']}",
cause i just need to get my mind away from all the bullshit out here..im bousta say fuck doin music...just promote others...,"{'notes': '', 'label': ['1']}",
i mean damn don can you get back to ya own brother?!?!?,"{'notes': '', 'label': ['1']}",
dick van dyke is way cooler too.,"{'notes': '', 'label': ['1']}",
You kidding  I bloody hate anime  and I liked Bleach.,"{'notes': '', 'label': ['1']}",
Not necessarily  while I do not agree with hitlers actions  he was a damn good general  and got germany out of a depression that,"{'notes': '', 'label': ['1']}",
I'll love him in the biblical sense  just as soon as they chop his emo hair off.,"{'notes': '', 'label': ['1']}",
u whore...,"{'notes': '', 'label': ['1']}",
Quit the gay ex and you wouldt sleep so much,"{'notes': '', 'label': ['1']}",
fuck you man  I'm a vegetarian today! That just makes it harder.,"{'notes': '', 'label': ['1']}",
"HAHAHA. tom cruise ""I WILL FUCK YOU UP""","{'notes': '', 'label': ['1']}",
That album is the fucking shit.,"{'notes': '', 'label': ['1']}",
yes? Yes? Fucking YES?,"{'notes': '', 'label': ['1']}",
@folub i'm hammered and want you both at Hot Damn.,"{'notes': '', 'label': ['1']}",
Y'know  it's very stereotyped emo.. I know plenty of older people who follow the trend / cult the whole way.,"{'notes': '', 'label': ['1']}",
DION WHAT THE FUCK YOU SAYIN? LOL.,"{'notes': '', 'label': ['1']}",
: Dude  you're gonna hate me! Here... more T-shirts for da T-shirt lovers : - http://snurl.com/8fhdw  : ),"{'notes': '', 'label': ['1']}",
- damn you and your constant banoffee pie mentions!! Very tempting LOL,"{'notes': '', 'label': ['1']}",
Fucking pallys. I learned to hate them playing Warcraft III. And fuck rogues too while we're at it.,"{'notes': '', 'label': ['1']}",
Hell yeah! With their invisible sneaking nonsense. I almost want to play as one some time to fuck with people though.,"{'notes': '', 'label': ['1']}",
"I was belting out songs from ""Fiddler On The Roof"" and ""Rocky Horror Picture Show"".  I might have been a gay  Jewish man?","{'notes': '', 'label': ['1']}",
"evilbeet  do u not feel that when u watch jon & kate plus 8 its fucking ""in ur face"" and purely advertisements?","{'notes': '', 'label': ['1']}",
jia..that is dead ass wrong,"{'notes': '', 'label': ['1']}",
I should round house kick ur al qaeda lookin ass in the face with my flip flops!,"{'notes': '', 'label': ['1']}",
ok! where is it then? send that bitch to me!! haha!,"{'notes': '', 'label': ['1']}",
"I freakin hate that! For me it's ""Hi Rose"" Rose is my last name you idiot! LOL","{'notes': '', 'label': ['1']}",
your ass needs to be in NYC for that shit!,"{'notes': '', 'label': ['1']}",
Please do...anything from you my sexy bitch!,"{'notes': '', 'label': ['1']}",
so i said listen cunt.. i hope your year brings prosperity and happiness. and then i got my gun  and blew her brains out.,"{'notes': '', 'label': ['1']}",
http://twitpic.com/t47m - Srsly  I hate it.,"{'notes': '', 'label': ['1']}",
Turns out I hate shopping  too. Way too many sounds and smells. I just want to pee on everything.,"{'notes': '', 'label': ['1']}",
Just had a big ass waffle breakfast and am catching up on games from 08,"{'notes': '', 'label': ['1']}",
I DARE DAT ASS 2 SAY SUMTHAN ELSE STUPID U DA STUPID BITCH!,"{'notes': '', 'label': ['1']}",
FUCK NO I AINT PARTYN LIK DAT JAYLA U STUPID,"{'notes': '', 'label': ['1']}",
JAYLA U TOK DAT DA WRN WAY MEANIN U WEAR PANTIES ASS ITS NOTHN SEXULA SO DNT BE THANKN DAT,"{'notes': '', 'label': ['1']}",
N HOW BOT BARBARA GOT ANGIE ASS GUH ME N TELA WAS LAUGHN 2 DAM HARD,"{'notes': '', 'label': ['1']}",
Judge Chevere at the Daley Center..she's hispanic and a bad ass! Too bad i'd never want to go to law school..,"{'notes': '', 'label': ['1']}",
 you'll get through it and win in the end. FUCK THAT SHIT IN THE FACE (as ange sez)!,"{'notes': '', 'label': ['1']}",
you're a bitch.,"{'notes': '', 'label': ['1']}",
sucks to be you,"{'notes': '', 'label': ['1']}",
I hate you so much.,"{'notes': '', 'label': ['1']}",
and the beamer was underwhelming.  had all kinds of issues with the on-board computer.  nothing major. just enought to piss me off,"{'notes': '', 'label': ['1']}",
He's an asshole. I'd fucking bean him  for love of the game. Not starring Kevin Costner.,"{'notes': '', 'label': ['1']}",
Damn dude...,"{'notes': '', 'label': ['1']}",
WOW YOUR A BAD ASS... HAHA,"{'notes': '', 'label': ['1']}",
Yeah  and T-Mobile Germany offers unlimited Worldwide calling to other T-Mobile phones. USA only offers Nationwide. Sucks.,"{'notes': '', 'label': ['1']}",
Scars on my face? Are you threatening me? I don't like liars  threats nor unexplained coincidences. Kindly fuck off!,"{'notes': '', 'label': ['1']}",
DAMN IT EDDIE!,"{'notes': '', 'label': ['1']}",
can u be a lamb & add a *gay* category to ur awards so I can nominate myself & others,"{'notes': '', 'label': ['1']}",
yes...and they are about to be fucking DISOWNED. *grumble*,"{'notes': '', 'label': ['1']}",
Well fuck yeah!!!! how about allston? @xdeartragedyo imma try the one in jersey @evry1 I got my 2day bamboozle tics today,"{'notes': '', 'label': ['1']}",
uh uh u fucking bitch. haha dont take any coats  skinny jeans  slippers  gloves  bomber hats  or scarves.,"{'notes': '', 'label': ['1']}",
we gonna make bklyn see what's up! Hell fucking yeah!,"{'notes': '', 'label': ['1']}",
Savor my ass. ;-p,"{'notes': '', 'label': ['1']}",
I'll be a crab ass with you. BAH HUMBUG!,"{'notes': '', 'label': ['1']}",
damn damn damn James....,"{'notes': '', 'label': ['1']}",
ok I don't care what @cyandle says about being PC bc that is SO queer. And ftr  my gay friends would say something worse! ;),"{'notes': '', 'label': ['1']}",
yes yes  so gay.,"{'notes': '', 'label': ['1']}",
SON OF A .... bitch! hahahahahahaha,"{'notes': '', 'label': ['1']}",
i hate you.... you know why,"{'notes': '', 'label': ['1']}",
u lucky whore!!!!!,"{'notes': '', 'label': ['1']}",
A BAMF is a bad-ass mother f*cker.,"{'notes': '', 'label': ['1']}",
Fuck that! I feel awful for you  having to wait out there!,"{'notes': '', 'label': ['1']}",
damn i hate Ed Hardy,"{'notes': '', 'label': ['1']}",
pig(s) !!! Wow - always thought you had plenty of space  but how many did you eat ?,"{'notes': '', 'label': ['1']}",
was just joking...hate people who act that way,"{'notes': '', 'label': ['1']}",
I do but I picture the fat guy in the leotard,"{'notes': '', 'label': ['1']}",
damn that sucks,"{'notes': '', 'label': ['1']}",
damn right,"{'notes': '', 'label': ['1']}",
ur a huge loser did u know that? lol,"{'notes': '', 'label': ['1']}",
i hate sewing. Period.,"{'notes': '', 'label': ['1']}",
don't worry  karma is a one mean ass bitch. They'll get what's coming to them...,"{'notes': '', 'label': ['1']}",
retard?,"{'notes': '', 'label': ['1']}",
haha no gay stuff is good! cuz i tend to be attracted to females! haha jus chillen getting ready for work!,"{'notes': '', 'label': ['1']}",
i hate u like miniature dogs hate people dressing them in t-shirts and little booties.,"{'notes': '', 'label': ['1']}",
fuck u BIATCH!!!,"{'notes': '', 'label': ['1']}",
I hate you.,"{'notes': '', 'label': ['1']}",
fuck off,"{'notes': '', 'label': ['1']}",
That was fucking hilarious... WIN,"{'notes': '', 'label': ['1']}",
omg that fat dude should not be in leotards idk they made them that big lmao,"{'notes': '', 'label': ['1']}",
damn u i wanted to see sexy lesbian porn lmao,"{'notes': '', 'label': ['1']}",
@TitanLineAudio lol BJ's blow ass :P,"{'notes': '', 'label': ['1']}",
Damn! This is deadly - keep em coming! :P,"{'notes': '', 'label': ['1']}",
check it on your wii  whore.,"{'notes': '', 'label': ['1']}",
No....Always been happy....never quite gay...,"{'notes': '', 'label': ['1']}",
get them all out of the dome ....NOW damn it...,"{'notes': '', 'label': ['1']}",
You'd be television slut.,"{'notes': '', 'label': ['1']}",
I HATE that!,"{'notes': '', 'label': ['1']}",
GO GIVE YOUR GAY LADYBOY HUSBAND AN OILY BODY MASSAGE WHY DON'T YOU. AND @yourscenesucks yes its true.,"{'notes': '', 'label': ['1']}",
OMFG I HATE YOU IWANNA GO ON NEOPETS :'( WTFFFF. YOU HAVE EVERYTHING I WANT.,"{'notes': '', 'label': ['1']}",
hate you so much,"{'notes': '', 'label': ['1']}",
lmfao! See this why I can't fuck w u! U kno I'm dead offa that Al B Shep!....,"{'notes': '', 'label': ['1']}",
LIKE HOW U SAY WHAT THE FUCK AND CLEAN IT UP WITH HECK LOL,"{'notes': '', 'label': ['1']}",
Thai sucks too many peanuts,"{'notes': '', 'label': ['1']}",
Wow! That sucks.,"{'notes': '', 'label': ['1']}",
it was in reference to his gay suit,"{'notes': '', 'label': ['1']}",
I hate them. So much.,"{'notes': '', 'label': ['1']}",
i am  just so behind now . . it sucks.,"{'notes': '', 'label': ['1']}",
Oh damn. Saw the trailer for Dark City&#8230; Looks gooood&#8230;,"{'notes': '', 'label': ['1']}",
I'm sick of Tinkerbell. that bitch is making my movie life hell.,"{'notes': '', 'label': ['1']}",
That really sucks. :(,"{'notes': '', 'label': ['1']}",
every one laugh at the sad gay clown,"{'notes': '', 'label': ['1']}",
fuck you  man. you can pick on garden state  but leave pushing daisies alone.,"{'notes': '', 'label': ['1']}",
I hear you can cook your ASS off!!! =),"{'notes': '', 'label': ['1']}",
damn your fat  you even got a turkey as your profile pic for good measure....,"{'notes': '', 'label': ['1']}",
Tommy blows cock! lol,"{'notes': '', 'label': ['1']}",
ah damn  ok,"{'notes': '', 'label': ['1']}",
Pah. Loser. ;) Haahaha. Well done fella. Very interested to chat to you about it sometime!,"{'notes': '', 'label': ['1']}",
i didnt call in gay either. but my company donated 100 g's to support No on prop 8. ::shrug:: squaresies  i guess.,"{'notes': '', 'label': ['1']}",
I hate Juno. That movie blows!,"{'notes': '', 'label': ['1']}",
I don't care about his fucking kids.....I want JP's kids head on a plate.,"{'notes': '', 'label': ['1']}",
fucking jp losman,"{'notes': '', 'label': ['1']}",
Fuck you and your family.,"{'notes': '', 'label': ['1']}",
damn.,"{'notes': '', 'label': ['1']}",
@TheSoXRoXmAsTer aw shucks you guys...are gay.,"{'notes': '', 'label': ['1']}",
Ugh. That truly sucks :(,"{'notes': '', 'label': ['1']}",
A COMMUNIST FUCKING DICTATORSHIP! Fuck Che Guevara. And all the t-shirts with him on them and those that wear them.,"{'notes': '', 'label': ['1']}",
You won't miss much.  Her husband is cheating  she's pregnant  he's an ax murderer  her son is gay. That's pretty much the soaps,"{'notes': '', 'label': ['1']}",
ah shit that sucks!,"{'notes': '', 'label': ['1']}",
antlers. nah  fuck that. they look stupid and extend the paradigm of happiness seasons fucking greetings etc etc,"{'notes': '', 'label': ['1']}",
that does sound gay. I never had that in year 12. And thanks!,"{'notes': '', 'label': ['1']}",
yea dani thats kind of gay sorry to tel u lol,"{'notes': '', 'label': ['1']}",
band nerd alert!! Lol,"{'notes': '', 'label': ['1']}",
LMFAOOOOO. and he looks emo now? i'd believe it.,"{'notes': '', 'label': ['1']}",
oh. yeah. no loving for nikki. poor nikki. she's too emo.,"{'notes': '', 'label': ['1']}",
ITS GROSS. AND NOT NEEDED. I HATE IT! LMFAOOO.,"{'notes': '', 'label': ['1']}",
FUCK AT&T!,"{'notes': '', 'label': ['1']}",
damn yo I did!,"{'notes': '', 'label': ['1']}",
Dick through brains,"{'notes': '', 'label': ['1']}",
then eat  ass! Don't eat ass though  just eat...you ass,"{'notes': '', 'label': ['1']}",
lol ur whale penis,"{'notes': '', 'label': ['1']}",
I know there's a bottle of bourbon in that house. Hit that shit! Tap dat ass!,"{'notes': '', 'label': ['1']}",
That is bad ass.,"{'notes': '', 'label': ['1']}",
nerd!,"{'notes': '', 'label': ['1']}",
DAMN.,"{'notes': '', 'label': ['1']}",
Ouch.  That sucks!!,"{'notes': '', 'label': ['1']}",
good! i hate digg...it's way too gamed,"{'notes': '', 'label': ['1']}",
Hmm...gay marriage is a subset of gay rights  but they are not different animals entirely.,"{'notes': '', 'label': ['1']}",
ouch that sucks..,"{'notes': '', 'label': ['1']}",
i saw you had this thing so i made one too. loser i know ha,"{'notes': '', 'label': ['1']}",
thanks. i know i hate it to  but it also makes me happy to see ppl that care. you made me smile  so good job :D,"{'notes': '', 'label': ['1']}",
sigh.. I can telw you because altho you'll laugh at me at least you won't think I'm a freak or tell anyone.,"{'notes': '', 'label': ['1']}",
dawns a Fucking twat and @occultclassic that is the best song on the album,"{'notes': '', 'label': ['1']}",
damn yeah,"{'notes': '', 'label': ['1']}",
why do you eat so much you fat bastard,"{'notes': '', 'label': ['1']}",
lol. I know  she's a mess. But ya ass was not getting up.,"{'notes': '', 'label': ['1']}",
Then I would be gay and I would kill myself. Don't become a boy  please.,"{'notes': '', 'label': ['1']}",
yeah those darn gay alarms at CVS.....,"{'notes': '', 'label': ['1']}",
yeah  im pissed. liek my body is tired  but my brain isnt  or is it the other way around? fuck idk anymore,"{'notes': '', 'label': ['1']}",
Yea that is some BS! I HATE MESS LIKE THAT!,"{'notes': '', 'label': ['1']}",
OMG  you fucking got them didnt you?!?!?! I'm so jealous!!!!,"{'notes': '', 'label': ['1']}",
oh yeah! Radios powered by pork fat!,"{'notes': '', 'label': ['1']}",
Go back to your pork fat radio!,"{'notes': '', 'label': ['1']}",
was it the Nigella coca cola ham? that pig rocks!,"{'notes': '', 'label': ['1']}",
"Fuck that shit. I told people... ""DON'T MAKE THAT ACCOUNT!"" and someone had to do it. Fuck that shit.","{'notes': '', 'label': ['1']}",
hey  fuck you &lt;3,"{'notes': '', 'label': ['1']}",
that song is so emo to me,"{'notes': '', 'label': ['1']}",
ikr? It's so fucking gross. GET ONLINE AND SAVE YOURSELF FROM THE 'TARDFULNESS.,"{'notes': '', 'label': ['1']}",
the punk ass pistons?,"{'notes': '', 'label': ['1']}",
ur smater than me then. last year  i was out on nye sick as fuck. came home with pneumonia,"{'notes': '', 'label': ['1']}",
FUCK YEA! THX! Id like to thank all my influences from my grandma (rip) to Sam L.  id also like to thank myself for being great!,"{'notes': '', 'label': ['1']}",
LMAO!! Hot sauce indeed!  but sheeeeit. you can take a picture of @shaydechelle wrapped in ME! fuck the dumb lol,"{'notes': '', 'label': ['1']}",
yeah and its really cute that i filmed two weddings that need to be edited and I CANT because my uncle sucks hard.,"{'notes': '', 'label': ['1']}",
ARGH!  I hate that too!,"{'notes': '', 'label': ['1']}",
gah!  Damn you spoilers!  I'm only on season threeeeee!,"{'notes': '', 'label': ['1']}",
Oh man...that sucks!,"{'notes': '', 'label': ['1']}",
whooo.  did you have to choke a bitch?,"{'notes': '', 'label': ['1']}",
i hate u! Jk.. But u can keep it.,"{'notes': '', 'label': ['1']}",
she took $60 from me  $50 from my sis 2 separate nights.  She says her stuff was jacked too.  Don't buy it. Betrayal sucks.,"{'notes': '', 'label': ['1']}",
You're still alive? Well  damn  I just lost a bet.,"{'notes': '', 'label': ['1']}",
way to not text me back DICK. :P,"{'notes': '', 'label': ['1']}",
fuck yeah they do!,"{'notes': '', 'label': ['1']}",
holy fuck.,"{'notes': '', 'label': ['1']}",
i got the whale too.  :(,"{'notes': '', 'label': ['1']}",
damn.. maybe ur next twitmance will be whole ass..,"{'notes': '', 'label': ['1']}",
sucks 2 b washed up.. gangstas paradise was the shit,"{'notes': '', 'label': ['1']}",
aw dammit  I meant to call @graemem a lame-duck Scotsman. Thanks for fixing my lame-ass miss of a joke!,"{'notes': '', 'label': ['1']}",
@hermanos @jamessime wow I totally know that fine line between love and hate! #dead_by_january_i_didnt_sign_up_for_this_shit,"{'notes': '', 'label': ['1']}",
I never watch those show or even read the lists because they invariably piss me off.,"{'notes': '', 'label': ['1']}",
he's a retard. shouldnt he be old enough to know to not  be so damn nosy and butt in on peoples relationship.,"{'notes': '', 'label': ['1']}",
Just keep your head up...you kick so much ass...,"{'notes': '', 'label': ['1']}",
I didn't call her fat at all! Keep your fucking nose out of other peoples business!,"{'notes': '', 'label': ['1']}",
"oooooooohhhhhhh sh*t! Damn where all the white women at! Come on! Hahaha (so is that why celebs ""crossover"" when they make it)","{'notes': '', 'label': ['1']}",
ah damn.,"{'notes': '', 'label': ['1']}",
I hate those fucking hash tags.,"{'notes': '', 'label': ['1']}",
some loser had already. He did Daniel by elton john,"{'notes': '', 'label': ['1']}",
A pussy on my cock on my pussy  if you wanna take it further. ;),"{'notes': '', 'label': ['1']}",
I've been called a pig  if that helps. Recently  even,"{'notes': '', 'label': ['1']}",
damn you.,"{'notes': '', 'label': ['1']}",
Hahaha!  Well take care then. We would hate to lose you to your homeland anyways.  Come back safe!,"{'notes': '', 'label': ['1']}",
and you're a smug cunt  so it must be true!,"{'notes': '', 'label': ['1']}",
fuck yo moustache you young ass nigga. Step yo beard game up,"{'notes': '', 'label': ['1']}",
I might get in a snowball fight out this bitch!,"{'notes': '', 'label': ['1']}",
what if it could be all 3 that would stink on 2 levels  but I bet it is a fat bonus  or ur picking up his backyard,"{'notes': '', 'label': ['1']}",
newegg.com.... once u know  u new egg.... can get a 500 gig for fucking 30 bucks on there,"{'notes': '', 'label': ['1']}",
a semicolon sounds like some sort of gay sex act gone wrong,"{'notes': '', 'label': ['1']}",
"I hate it when you get ""blue"" teeth. LOL","{'notes': '', 'label': ['1']}",
hour meetings foe a job you're failing at  because you hate it  your bentley that you don't even drive cuz gas is so expensive  in,"{'notes': '', 'label': ['1']}",
 Damn :(,"{'notes': '', 'label': ['1']}",
...fuck jared leto. i forgot it was his bday. 25th HIS BIRTH 26th MY BIRTH ECHELON THROUGH THE BACK DOOOOR.,"{'notes': '', 'label': ['1']}",
 damn 'reply' button ... -.-,"{'notes': '', 'label': ['1']}",
agreed.  UGO sucks ass,"{'notes': '', 'label': ['1']}",
it's the damn music  ugh  terrible!,"{'notes': '', 'label': ['1']}",
Also  you are not Canadian  fuck.,"{'notes': '', 'label': ['1']}",
yeah... it sucks...,"{'notes': '', 'label': ['1']}",
i hate those DIY post office things here in #ALB. no matter what the lines are still insane.,"{'notes': '', 'label': ['1']}",
rogue. I hate you and your ability to spell correctly. though some of them were red  but they were communist. not rouge.,"{'notes': '', 'label': ['1']}",
I hate chris,"{'notes': '', 'label': ['1']}",
u know what................. ima put jourdan on your ass.,"{'notes': '', 'label': ['1']}",
omg that so fucking sucks,"{'notes': '', 'label': ['1']}",
fuck. :( &lt;3,"{'notes': '', 'label': ['1']}",
this sucks ass!,"{'notes': '', 'label': ['1']}",
fuck yo couch! In yo face!,"{'notes': '', 'label': ['1']}",
FIRE HIM!!!!!!  lol lame ass mofo....,"{'notes': '', 'label': ['1']}",
get your ass here !!!,"{'notes': '', 'label': ['1']}",
Nuno Bettencourt ftw. Damn!,"{'notes': '', 'label': ['1']}",
Fat ass!,"{'notes': '', 'label': ['1']}",
and most of them are ugly and fat..lol,"{'notes': '', 'label': ['1']}",
i couldnt agree more. HATE sandra lee!,"{'notes': '', 'label': ['1']}",
i'm ok  now  darlin :)  i just hate my body sometimes.  it hurts me when it's most inconvenient.  i'll be ok... :) thank youuu,"{'notes': '', 'label': ['1']}",
http://twitpic.com/taap - fat.,"{'notes': '', 'label': ['1']}",
http://twitpic.com/v2mo - lol.. hate u both..,"{'notes': '', 'label': ['1']}",
http://twitpic.com/vhtp - LOOOOOOL HATE!!!!!!,"{'notes': '', 'label': ['1']}",
awwwwz poor little emo girl,"{'notes': '', 'label': ['1']}",
Damn skippy.,"{'notes': '', 'label': ['1']}",
that sucks. People are stupid.,"{'notes': '', 'label': ['1']}",
hate you both!!,"{'notes': '', 'label': ['1']}",
hate u,"{'notes': '', 'label': ['1']}",
Injections don't work in Vista? I tried in XP  didn't work there either  crazy bug or something :(. Damn you C++ Win32 API!,"{'notes': '', 'label': ['1']}",
it is not only terrible... it really sucks.,"{'notes': '', 'label': ['1']}",
AND DAMN I JUST LOST /AGAIN/.,"{'notes': '', 'label': ['1']}",
dude that sucks!,"{'notes': '', 'label': ['1']}",
if anyone's a loser  it's YOU.,"{'notes': '', 'label': ['1']}",
lol whore bath...funny.,"{'notes': '', 'label': ['1']}",
Fat Boys have a new song?!,"{'notes': '', 'label': ['1']}",
A gay couple getting married in NYC isn't going to change anyone's idea about marriage. Divorce has redefined marriage.,"{'notes': '', 'label': ['1']}",
Heores Season 2 sucked! Full of emo shit!,"{'notes': '', 'label': ['1']}",
I LOVE Pocoyo!...because I'm a freak!,"{'notes': '', 'label': ['1']}",
i hate you.,"{'notes': '', 'label': ['1']}",
i didn't laugh  fag.,"{'notes': '', 'label': ['1']}",
Pretty sure it's CO2 and H2O produces sugar  but damn that was a long time ago,"{'notes': '', 'label': ['1']}",
Well that sucks.,"{'notes': '', 'label': ['1']}",
lmfao! bad ass!,"{'notes': '', 'label': ['1']}",
wow. your dad looks like a total bad ass!,"{'notes': '', 'label': ['1']}",
You coming to work today  E? I know it's Gay Day and all. I wasn't sure if you were gay or just running late.,"{'notes': '', 'label': ['1']}",
Damn if TJ doesn't like your music  it must really suck. This guy will cosign anything,"{'notes': '', 'label': ['1']}",
old ass nigga!,"{'notes': '', 'label': ['1']}",
they stole my slogan!!! I hate them for that!,"{'notes': '', 'label': ['1']}",
That happens here in MD too. People totally freak!,"{'notes': '', 'label': ['1']}",
bitch... lol jk,"{'notes': '', 'label': ['1']}",
why would i accuse you  im SUPER FUCKING JESLOUS OF YOU,"{'notes': '', 'label': ['1']}",
kiss my icecubes formerly known as my ass cheeks.,"{'notes': '', 'label': ['1']}",
that sucks balls!,"{'notes': '', 'label': ['1']}",
I hate that too!!,"{'notes': '', 'label': ['1']}",
NERD!,"{'notes': '', 'label': ['1']}",
YOU KNOW IT BITCH. :D,"{'notes': '', 'label': ['1']}",
No God no. Fuck no. Fucking fuck god no.,"{'notes': '', 'label': ['1']}",
Gypsy bitch!!!!!,"{'notes': '', 'label': ['1']}",
LMAO!! I seen that  that dude was mad angry... then got his ass beat,"{'notes': '', 'label': ['1']}",
fuck you shane lol,"{'notes': '', 'label': ['1']}",
oooh that sucks. ibuprofin,"{'notes': '', 'label': ['1']}",
enak aja! nick carter ga gay!!,"{'notes': '', 'label': ['1']}",
ohlala dago ktny tmpt nongkrong gay :D,"{'notes': '', 'label': ['1']}",
@BikerSwag damn! No kidding!,"{'notes': '', 'label': ['1']}",
Man  fuck Alton-Darby.,"{'notes': '', 'label': ['1']}",
Sigh. Fuck 4chan.,"{'notes': '', 'label': ['1']}",
haha I always say that! Girl or not  I too can rock out with my cock out! Hah,"{'notes': '', 'label': ['1']}",
I hate em..,"{'notes': '', 'label': ['1']}",
He's so fucking annoying. I would just tell him fuck off and it's his fault he has an unverified address &gt;:/,"{'notes': '', 'label': ['1']}",
yeah and I am the man in the relationship @kRockXP your my bitch.,"{'notes': '', 'label': ['1']}",
D:!  That's horrible  ;__; This sucks.,"{'notes': '', 'label': ['1']}",
fuck off dude  don't waste my time  damn spam users again ...,"{'notes': '', 'label': ['1']}",
fuck off dude  don't waste my time...,"{'notes': '', 'label': ['1']}",
you own a gun? remind me not to piss you off anymore.,"{'notes': '', 'label': ['1']}",
FUCK FUCK FUCK FUCK BIIAAAATCH!,"{'notes': '', 'label': ['1']}",
damn straight :),"{'notes': '', 'label': ['1']}",
damn you hater!  lol,"{'notes': '', 'label': ['1']}",
OMG your so MEAN .. really really mean +_+  i hate you .. hifftt,"{'notes': '', 'label': ['1']}",
cunt? Whore?? Lololol,"{'notes': '', 'label': ['1']}",
fuck u and ur fucking break =/,"{'notes': '', 'label': ['1']}",
wow   that sucks.,"{'notes': '', 'label': ['1']}",
LIES! I HATE HIM!,"{'notes': '', 'label': ['1']}",
damn straight,"{'notes': '', 'label': ['1']}",
I hate you so much you stupid New York... douche. bagel.,"{'notes': '', 'label': ['1']}",
I wish I could punch you square in the face. that's how much I hate you right now.,"{'notes': '', 'label': ['1']}",
you are a twitter/last.fm whore! :P,"{'notes': '', 'label': ['1']}",
Doh!  That sucks!,"{'notes': '', 'label': ['1']}",
i hate you for both those statements. lol,"{'notes': '', 'label': ['1']}",
fuck up foo.,"{'notes': '', 'label': ['1']}",
i REALLY hate you,"{'notes': '', 'label': ['1']}",
ur gay? me. u. mall. shopping!,"{'notes': '', 'label': ['1']}",
God damn it  Louis!,"{'notes': '', 'label': ['1']}",
Nerd alert!,"{'notes': '', 'label': ['1']}",
SHUT THE FUCK UP! What?! Why does Micky Rouke have ur #?,"{'notes': '', 'label': ['1']}",
Freak.,"{'notes': '', 'label': ['1']}",
VTU  SUCKS &gt;.&lt;,"{'notes': '', 'label': ['1']}",
8 fucking am.,"{'notes': '', 'label': ['1']}",
HOLY FUCK! GIRL YOU CANT DO STUFF LIKE THAT!,"{'notes': '', 'label': ['1']}",
i hate pret,"{'notes': '', 'label': ['1']}",
That sucks!,"{'notes': '', 'label': ['1']}",
jealousy makes me hate you now hahaha,"{'notes': '', 'label': ['1']}",
And I HATE gangsters &gt;.&gt;,"{'notes': '', 'label': ['1']}",
haha no I'm just trying to fuck with him,"{'notes': '', 'label': ['1']}",
i hate u,"{'notes': '', 'label': ['1']}",
i hate u. looooooool,"{'notes': '', 'label': ['1']}",
